ID,y
1,84.9630475362
2,100.190055501
3,84.9686451479
4,82.7047746004
5,112.397419457
8,95.9270060349
10,110.53960109
11,96.0965784441
12,112.73951809
14,96.2713212729
15,112.871596784
16,103.681884631
17,98.0843224098
19,96.1431659713
20,103.72234477
21,98.0979517498
22,113.05232203
23,98.0843043837
26,96.0192474069
28,95.5590009799
29,95.978108074
33,95.9780960566
35,95.7338087642
41,95.9780720218
42,95.5385708659
43,113.281211149
45,103.249854403
46,103.051426075
51,95.6370061912
53,82.801859382
55,110.129339663
56,95.6396773472
57,103.306789972
58,95.7694648908
59,103.536214712
63,110.244524677
64,95.7050623521
65,103.711207988
69,95.7376069173
71,95.7447641905
72,103.481772299
73,95.7079809789
76,103.498648724
77,103.499472996
78,112.950629434
82,95.7008708311
83,103.71115391
84,95.6965704357
85,103.232409025
87,110.229523528
88,95.9630992747
89,110.545496523
91,95.6318696929
93,95.7366809517
94,103.534765387
95,95.6404140391
96,109.937527189
97,95.5367712563
98,110.190588197
99,95.6348920976
101,103.4680663
103,110.545454462
104,95.5441712454
105,110.204161068
110,95.7722084912
111,110.273740059
113,110.31241508
114,95.5142277376
115,111.79097292
117,110.545412401
120,95.5397485959
121,110.161908868
122,95.5366961477
123,110.493123684
126,110.270116808
132,110.121308104
135,103.653181325
137,103.577970206
138,95.7108321361
140,95.6311371717
142,111.64993811
144,110.240437791
148,95.5369782965
149,111.858335061
155,95.5395436309
156,110.27629041
157,95.5365909957
162,110.042301742
163,95.7398205522
167,95.5193427301
172,113.280823589
179,110.397671933
180,95.533174495
181,110.117720579
182,95.7726551101
183,110.545214115
185,110.545208106
187,110.179288706
188,95.6994155909
189,95.631935529
191,95.5387969164
192,111.479521244
193,95.6349699511
194,110.184432776
195,95.5376481193
196,110.327622873
198,95.7321042477
199,110.252861053
201,103.646345948
204,95.7106338494
205,103.670627482
206,95.6349308946
210,95.6349188772
211,103.467735822
216,110.280703045
219,112.751583874
220,95.5460581541
221,110.187203372
226,110.117585384
227,95.5375519803
228,110.238705323
230,110.243368504
231,95.5363686743
235,113.05754911
236,95.6121820743
238,110.35396306
242,103.524234685
243,95.6091146044
244,83.4125665714
245,110.013156956
247,112.141426866
248,95.5363176004
249,95.5379489667
250,110.037162177
251,95.6121370091
253,113.057495031
254,95.5397062756
256,95.6281024902
257,95.5366508231
258,110.323353459
259,95.6121129744
262,82.9823441516
266,95.5409748499
267,111.045129597
272,103.182815683
273,110.544943724
275,95.5414108929
276,110.511717584
279,95.7139256745
280,103.710562054
283,95.5392588879
285,110.228135211
288,110.544898659
289,95.7092754681
290,103.636656259
291,95.7103724715
292,109.91889314
293,110.220214753
296,95.687839806
297,110.11542826
298,112.932832858
299,95.7002188885
304,95.5395560584
305,90.4906380536
306,95.612332032
307,110.094354666
311,105.059466834
313,110.111167085
314,95.5372906024
316,95.69719569
324,95.6122779538
327,95.6278252762
329,95.5372455372
330,110.173053116
337,103.519312296
338,95.7432178117
339,103.674656019
340,95.7102252587
343,95.5350785135
345,112.870605351
346,95.5135307299
347,111.363584317
349,110.585956021
350,95.5135187126
352,110.278600729
353,95.5118676995
354,82.9662756242
357,95.6045108613
358,110.504511963
362,111.104472142
364,112.263510611
365,107.650188434
366,95.705525636
367,110.169882568
368,95.710141137
370,82.7368473239
373,95.7335577964
377,95.5371013287
378,110.214595919
382,103.502254173
384,110.238236646
390,95.607951757
392,109.97284701
393,110.504560924
395,95.7430465641
396,103.686899549
399,82.820522966
406,110.110887681
408,110.110881672
409,95.5432549206
410,83.1797401101
412,110.149566205
413,95.5335864711
419,95.6124861407
420,110.628593272
421,95.5335624364
430,102.392158967
434,95.6089010365
436,95.7099368417
437,95.6115782012
438,95.5347931008
439,110.284603084
440,95.6115691882
443,110.339034426
446,95.7099067982
448,95.6110867589
452,95.614121181
453,103.3012352
457,103.662308098
458,95.6088289323
459,111.961909845
460,103.215018482
462,103.638655176
464,103.239977473
465,112.755781023
467,111.002625152
471,110.259589342
472,82.7268380003
473,95.5105484173
475,95.7098196723
480,95.7355182707
488,110.318139648
490,110.093804872
491,103.475562145
492,82.7242540954
493,95.6087237802
497,95.513077074
498,110.142725083
499,95.7324147487
500,107.221581658
501,95.6086997455
502,111.205930229
506,82.7862400451
510,110.229046148
511,95.5147997144
512,95.5366957423
516,95.540686846
518,95.5320562066
519,111.245490971
521,95.5141417496
522,110.199709762
526,110.222078217
529,95.700320087
532,109.975783336
533,95.6086036065
536,110.31428881
537,99.2694141079
539,95.7065809548
540,103.474964798
541,95.7036292802
543,95.6085735631
546,109.988772281
547,95.6066262137
548,82.9151950983
551,95.6085495283
552,103.175130266
556,103.500042174
557,95.7326007585
558,110.169308738
559,95.7095673074
560,103.674375635
562,103.674369626
566,95.9908250892
570,110.14250877
571,95.6111756192
572,103.709684786
573,95.6982589186
575,112.755450546
576,109.955707907
577,95.5128367266
579,95.5284662404
580,109.916709684
581,110.092226305
589,110.093507442
591,103.262426959
593,95.7034730544
594,103.266281939
595,95.6114637767
598,95.6037868145
602,109.968599765
604,110.24412934
606,110.905572909
608,95.6988064795
609,103.471354788
610,95.608372272
616,110.022528041
617,95.7264283926
618,103.453988603
620,103.537865319
622,110.278805522
623,95.532955559
624,121.245949267
626,110.116141186
628,110.040985641
629,95.5126805007
630,110.243807086
637,96.4870280942
638,103.633421111
643,95.6148290897
645,95.735022554
646,111.074047357
648,95.7293816974
652,95.9905667156
653,95.610929263
654,110.148131039
656,110.027443268
657,95.5178706017
659,95.7075326894
660,103.557295764
663,95.5384774991
664,110.305647993
666,103.309468261
668,110.003115223
669,95.6081950158
671,95.726266158
675,95.5366691163
677,95.6130849419
678,109.983367916
679,103.698764195
682,95.7292795497
685,103.352021347
687,95.7031906461
688,95.5205176764
693,110.155399124
696,95.6267166734
698,95.7271953746
701,95.6116083983
704,103.552083065
705,113.005212569
709,110.477784526
710,95.6030900662
711,103.451163835
712,95.734821263
714,110.210656772
715,95.5476638919
716,110.09312589
